Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2010-06-15,737,58.0,29.0,0.4,4.0,,2.9,0.0,,282.0,,199.0,193.0,
2010-06-16,737,65.0,37.0,0.2,5.7,,5.4,4.4,,237.0,,234.0,184.0,
2010-06-17,737,60.0,36.0,0.0,9.8,,7.7,6.7,,251.0,,256.0,196.0,
2010-06-18,737,66.0,36.0,0.1,15.4,,7.2,4.1,,255.0,,161.0,220.0,
2010-06-19,737,68.0,39.0,0.0,7.0,,2.4,0.0,,279.0,,250.0,205.0,
2010-06-20,737,64.0,40.0,0.0,14.0,,9.2,4.0,,266.0,,56.0,244.0,
2010-06-21,737,63.0,37.0,0.0,11.5,,11.6,10.0,,256.0,,111.0,185.0,
2010-06-22,737,62.0,37.0,0.0,10.9,,11.3,33.43333333333333,,290.0,,166.0,-14.0,
2010-06-23,737,68.0,36.0,0.0,22.4,,20.342857142857145,33.06666666666666,,283.0,,154.0,105.0,
2010-06-24,737,69.0,40.0,0.0,24.2,,23.5,32.9,,293.0,,-134.0,40.666666666666664,
2010-06-25,737,67.0,43.0,0.0,16.5,,23.25,32.71666666666667,,290.0,,87.57142857142857,40.833333333333336,
2010-06-26,737,65.0,39.0,0.0,16.0,,22.966666666666665,32.50000000000001,,284.0,,-68.0,41.166666666666664,
2010-06-27,737,65.0,39.0,0.0,20.614285714285717,,22.650000000000002,32.266666666666666,,293.0,,89.14285714285714,41.833333333333336,
2010-06-28,737,72.0,41.0,0.0,20.0,,22.23333333333333,32.01666666666667,,287.0,,417.0,41.833333333333336,
2010-06-29,737,74.0,41.0,0.0,14.2,,21.833333333333332,31.8,,290.0,,388.0,42.333333333333336,
2010-06-30,737,70.0,42.0,0.0,18.271428571428572,,21.416666666666668,31.566666666666663,,304.0,,81.28571428571429,42.5,
2010-07-01,737,68.0,42.0,0.0,16.7,,21.05,31.349999999999998,,293.0,,85.42857142857143,42.833333333333336,
2010-07-02,737,64.0,44.0,0.0,10.7,,20.666666666666668,31.116666666666664,,304.0,,570.0,43.0,
2010-07-03,737,67.0,44.0,0.0,8.7,,20.2,30.850000000000005,,337.0,,-60.0,43.0,
2010-07-04,737,63.0,35.0,0.0,5.1,,21.6,30.583333333333332,,308.0,,343.0,266.0,
2010-07-05,737,62.0,33.0,0.0,5.5,,19.533333333333335,30.583333333333332,,323.0,,362.0,43.333333333333336,
2010-07-06,737,66.0,37.0,0.0,1.5,,20.3,30.333333333333332,,308.0,,314.0,432.0,
2010-07-07,737,66.0,39.0,0.0,4.9,,18.95,30.25,,318.0,,486.0,44.0,
2010-07-08,737,62.0,39.0,0.0,2.8,,23.3,30.25,,303.0,,284.0,339.0,
2010-07-09,737,62.0,39.0,0.0,2.1,,18.599999999999998,30.28333333333333,,312.0,,296.0,44.5,
2010-07-10,737,61.0,41.0,0.0,3.0,,18.116666666666667,30.066666666666663,,299.0,,307.0,44.666666666666664,
2010-07-11,737,61.0,39.0,0.2,2.3,,17.616666666666664,29.716666666666665,,295.0,,50.0,45.0,
2010-07-12,737,65.0,38.0,0.2,3.4,,24.6,29.416666666666668,,284.0,,298.0,45.333333333333336,
2010-07-13,737,77.0,44.0,0.1,7.6,,13.4,20.4,,273.0,,340.0,252.0,
2010-07-14,737,78.0,45.0,0.0,10.1,,16.666666666666668,28.91666666666667,,257.0,,420.0,45.5,
2010-07-15,737,71.0,45.0,0.0,8.6,,16.583333333333332,28.966666666666665,,281.0,,431.0,45.666666666666664,
2010-07-16,737,74.0,44.0,0.0,5.1,,16.45,28.733333333333334,,269.0,,267.0,45.666666666666664,
2010-07-17,737,75.0,47.0,0.0,5.6,,24.6,28.799999999999997,,278.0,,179.0,382.0,
2010-07-18,737,76.0,49.0,0.0,5.2,,16.066666666666666,28.51666666666667,,299.0,,349.0,46.166666666666664,
2010-07-19,737,71.0,47.0,0.0,1.0,,16.833333333333332,28.599999999999998,,295.0,,270.0,46.166666666666664,
2010-07-20,737,73.0,48.0,0.2,10.7,,18.914285714285715,29.483333333333334,,293.0,,87.375,99.14285714285714,
2010-07-21,737,61.0,47.0,0.4,0.3,,18.8,29.25,,295.0,,323.0,46.166666666666664,
2010-07-22,737,64.0,45.0,0.2,17.285714285714285,,17.033333333333335,29.066666666666666,,302.0,,75.42857142857143,46.166666666666664,
2010-07-23,737,76.0,45.0,0.2,6.3,,21.4,21.3,,280.0,,160.0,222.0,
2010-07-24,737,74.0,44.0,0.0,5.4,,17.1,19.4,,252.0,,265.0,115.0,
2010-07-25,737,73.0,46.0,0.0,1.4,,22.2,19.6,,278.0,,193.0,71.0,
2010-07-26,737,70.0,44.0,0.2,2.1,,20.7,22.9,,278.0,,276.0,277.0,
2010-07-27,737,75.0,48.0,0.3,4.2,,19.4,22.8,,291.0,,270.0,296.0,
2010-07-28,737,72.0,48.0,0.0,9.3,,24.4,14.9,,269.0,,297.0,195.0,
2010-07-29,737,66.0,49.0,0.1,7.1,,15.8,21.1,,257.0,,222.0,208.0,
2010-07-30,737,67.0,43.0,0.0,3.4,,21.4,19.8,,280.0,,207.0,284.0,
2010-07-31,737,67.66666666666667,43.333333333333336,0.2,4.5,,21.6,20.4,,266.0,,208.0,252.0,
2010-08-01,737,70.0,48.0,0.3,3.8,,12.5,12.3,,306.0,,230.0,288.0,
