Date,Discharge,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in),Snowmelt
108,59.84382832,5.2,8,21,8,15,0,0
109,63.4623125,5.2,8,24,9,18,0,0
110,63.35278955,5.2,8,33,21,25,0.1,0
111,61.43124267,5.2,8.1,30.75,11.9375,20.625,0,0
112,63.03497942,5.2,8.1,35,16,24,0,0
113,61.14780093,5.2,8.1,43,17,25,0,0
114,61.33073594,5.2,8.1,36,16,23,0,0
115,61.42315424,5.2,8.1,40,15,23,0,0
116,61.66666667,5.2,8.1,32,17,23,0,0.1
117,58.49131181,5.3,8.1,33,13,22,0.1,0.2
118,56.58333333,5.5,8.2,20,10,16,0,0
119,56.85416667,5.5,8.2,23,8,14,0.1,0
120,57.5,5.5,8.3,24,5,13,0,0
121,55.65455247,5.5,8.3,18,1,8,0,0
122,55.0060704,5.5,8.3,7,-9,-1,0,0
123,58.00873724,5.5,8.3,3,-12,-6,0,0
124,54.29322917,5.5,8.3,29.3030303,12.03030303,19.15151515,0,0
125,57.10034722,5.5,8.3,22,-1,9,0,0
126,58.08710938,5.5,8.3,25,6,14,0,0
127,58.35223214,5.5,8.3,19,12,15,0.3,0.4
128,52.10416667,5.9,8.6,22,6,13,0,0
129,58.98831019,5.9,8.6,24,5,15,0.1,0
130,51.29166667,5.9,8.7,23,17,19,0.7,0.7
131,52.02083333,6.6,9.4,24,16,20,1.4,1.4
132,48.08333333,8,10.8,24,7,14,0,0
133,51.125,8,10.8,27,14,20,0.1,0.1
134,52.25,8.1,10.9,27,7,18,0.6,0.6
135,51.14583333,8.7,11.5,17,-3,5,0,0
136,55.31888021,8.7,11.5,30,-3,10,0,0
137,56.16769792,8.7,11.5,32,11,18,0,0
138,56.7088141,8.7,11.5,37,9,20,0,0
139,60.27879916,8.7,11.5,38,17,26,0,0
140,52.5625,8.7,11.5,34,12.59375,20.59375,0.1,0.1
141,52.9375,8.8,11.6,30,11,20,0.1,0.1
142,52.95833333,8.9,11.7,19,8,12,0.2,0.2
143,52.83333333,9.1,11.9,25,6,14,0.4,0.3
144,53.27083333,9.4,12.3,26,8,15,0.3,0.3
145,51.85416667,9.7,12.6,21,1,9,0,0
146,56.35724085,9.7,12.6,20,-3,7,0,0
147,55.2858631,9.7,12.6,31,11,21,0,0
148,53.34375,9.7,12.6,31.15625,12.625,20.53125,0.1,0.1
149,59.10235256,9.8,12.7,40,19,28,0,0
150,58.69261218,9.8,12.7,33,20,25,0,0
151,57.27681799,9.8,12.7,36,12,22,0.1,0.1
152,57.33662534,9.9,12.8,37,11,23,0,0
153,59.61907807,9.9,12.8,34.40625,14.625,22.34375,0,0
154,54.4375,9.9,12.8,46,21,31,0,0
155,55.19791667,9.9,12.8,44,23,31,0,0
156,57.64583333,9.9,12.8,40,23,30,0,0
157,59.86458333,9.9,12.8,38,24,29,0,0
158,59.05208333,9.9,12.8,42,19,28,0,0
159,58,9.9,12.8,37.96969697,16.42424242,25.18181818,0,0
160,58,9.9,12.8,33,7,18,0,0
161,60.84375,9.9,12.8,39,8,22,0,0
162,59.79166667,9.9,12.8,41,17,27,0,0
163,62.07291667,9.9,12.8,40,19,28,0,0
164,58.38541667,9.9,12.8,50,18,29,0,0
165,61.65299005,9.9,12.8,47,23,33,0,0
166,65.070625,9.9,12.8,59,23,35,0,-0.1
167,68.30964627,9.8,12.8,49,27,36,0,0
168,73.8125,9.8,12.8,38,26,33,0,0
169,69.6875,9.8,12.8,46,24,33,0,0
170,81.78125,9.8,12.8,47,28,33,0.2,0.2
171,80.08333333,10,13,33,13,24,0.4,0.4
172,69.16666667,10.4,13.4,47,13,27,0,0
173,74.8125,10.4,13.4,48,20,32,0,0
174,79.34375,10.4,13.4,35,14,21,0.2,0.2
175,76.57291667,10.6,13.6,31,17,24,0.3,0.3
176,75.29166667,10.9,13.9,34,18,24,0.2,0.2
177,73.26041667,11.1,14.1,40,8,21,0,0
178,67.01041667,11.1,14.1,19,2,8,0,0.1
179,67.17291667,11.2,14.1,36,4,20,0,0
180,68.85416667,11.2,14.1,33,7,21,0,0
181,64.95208333,11.2,14.1,41,4,22,0.2,0.2
182,67.88333333,11.4,14.3,54,16,30,0.4,0.4
183,71.39583333,11.8,14.7,44,22,31,0,0.1
184,79.375,11.9,14.7,44,20,28,0.5,0.5
185,76.47826087,12.4,15.2,49,17,31,0,0
186,80.83333333,12.4,15.2,36,20,27,0,0
187,77.27083333,12.4,15.2,35,15,21,0.1,0.2
188,72.625,12.6,15.3,31,13,23,0,0
189,77.65625,12.6,15.3,28,19,23,0,0.1
190,73.08333333,12.7,15.3,39,15,24,0.2,0.2
191,72.8125,12.9,15.5,40,19,26,0.6,0.6
192,71.375,13.5,16.1,31,13,23,0,0.1
193,65.9375,13.6,16.1,42,11,22,0,0
194,66.94791667,13.6,16.1,44,16,28,0,0
195,77.28125,13.6,16.1,50,25,35,0,0
196,95.4125,13.6,16.1,46.84848485,23.18181818,32.72727273,0,0
197,98.56041667,13.6,16.1,48,26,34,0,0
198,121.5479167,13.6,16.1,62,26,41,0,-0.6
199,163.65625,13,16.1,58,31,42,0,-0.5
200,203.7604167,12.5,16.1,54,35,43,0.1,-0.5
201,255.84375,12,16.2,54,35,41,0,-0.4
202,352.96875,11.6,16.2,59,33,41,0,-0.9
203,563.65625,10.7,16.2,64,31,43,0,-0.7
204,747.4791667,10,16.2,51,33,39,0,-0.3
205,808.5,9.7,16.2,56,31,39,0,-0.3
206,874.0625,9.4,16.2,47,29,36,0,-0.3
207,744.09375,9.1,16.2,31,20,25,0,0.3
